"S_nu_SCL_cases","S_nu_SCL_cases_icovid","S_nu_SCL_deaths","S_nu_CL_deaths"
-2.9382709304926,-3.4093590069242,-4.10848738844528,-2.88294175189223
-2.55696204959929,-3.05943147158208,-3.48881837649405,-2.35962628242232
-2.51281068716729,-2.89811693228004,-3.40202289652154,-2.30317330043416
-2.45267758966742,-2.90285425211119,-3.37002842242996,-2.33448798474032
-2.55283422657788,-2.85268109840812,-3.30965878486875,-2.28240007385549
-2.33474669816601,-2.8967122448362,-3.65742882399722,-2.29584044352474
-2.32975933719052,-2.97734874822557,-3.31781765026209,-2.51660303564993
-2.27802129165654,-2.90789101217911,-3.18237538351537,-2.28720263277423
-2.21835717863775,-2.73521003910408,-3.16101209402529,-2.19570265083994
-2.08276035374195,-2.6241257922954,-3.12969889643814,-2.14927037321226
-2.08377961412465,-2.56172201321632,-3.24466935414189,-2.15662978646192
-2.00022659707629,-2.48946489066934,-2.9553116529907,-2.11978625105871
-1.93519659202742,-2.49828856228615,-2.94926330770683,-2.15041472140152
-1.87518872220358,-2.45239711510509,-2.92276868449459,-2.03836256643124
-1.85465228925339,-2.41239151584085,-2.90472772193936,-2.01262523309841
-1.77745517732043,-2.28982955387899,-2.92186770811427,-1.90169067569266
-1.72358747364372,-2.20557643971189,-2.77768276096845,-1.89921790087349
-1.69601226500486,-2.14560446046101,-2.77994953738229,-1.90062373083456
-1.66215004408646,-2.10239223210722,-2.77007596909672,-1.81803099762404
-1.58400605070852,-2.10892449772095,-2.76362493531884,-1.74958103640725
-1.54884699372275,-2.07829797532528,-2.80240342534192,-1.77819696225349
-1.53760920356814,-2.03945137701161,-2.69106105824901,-1.67106953495283
-1.46794280219699,-1.96897563396071,-2.72440278450634,-1.645955517718
-1.41607499148879,-1.90599937166669,-2.72974052643921,-1.66424039032995
-1.36301360261425,-1.88759180989461,-2.6677124667773,-1.61245574767522
-1.34968135684368,-1.87128530928818,-2.70372911882888,-1.5112590354012
-1.29614889494561,-1.86601871757761,-2.66374883442378,-1.51709615666031
-1.28278338981507,-1.83942466631733,-2.6188221384247,-1.46849512079339
-1.23192577083904,-1.8312953444541,-2.66668497429068,-1.45858015207535
-1.21035278552459,-1.78544242441951,-2.61511550561288,-1.44706502449752
-1.17202935904377,-1.7709605504792,-2.6775441436327,-1.45178479460004
-1.1553356360169,-1.77466200251758,-2.59107704774426,-1.36154905073229
-1.11725406913817,-1.75018355958094,-2.49199566137783,-1.35588210917326
-1.11719871977122,-1.74924204422329,-2.60728099558271,-1.33441647655694
-1.0966419643326,-1.75345177941515,-2.62920553192574,-1.33786735795725
-1.10285530932015,-1.78074853787128,-2.68205590880356,-1.32130607801623
-1.05697414878507,-1.7547445409024,-2.55693557625944,-1.32706507916322
-1.06105189158999,NA,-2.46991792275559,-1.28569740339567
-1.05605447095723,NA,-2.57235842885167,-1.24180245730849
-1.07563735591334,NA,-2.49840118595713,-1.26185852923561
