"mutual_MDF_cases","mutual_MX_cases","mutual_MDF_deaths","mutual_MX_deaths"
2.5540701271565,2.54414318707175,2.46719193983044,2.57397007329005
1.17157850066424,1.19461960222666,1.27373521382087,1.32296241823445
0.980963844232729,1.07428371561877,1.1664430854914,1.31085963323836
0.957810477474117,0.989615444365579,1.15223809922834,1.2441832031959
0.929478873405595,0.890405585599281,1.1591607403859,1.25187834430895
0.898152620849533,0.964701419945765,1.13444766798515,1.19599895637773
1.04650538030483,1.01593179339608,1.10286021770151,1.1541325645873
1.29321804343989,1.28882502499372,1.05042728215017,1.1463864101341
0.993264916565362,0.934621058038313,1.04964347063692,1.10566074772117
0.918992323975908,0.951363439854807,1.00475244947394,1.13956790724849
0.824480624552447,0.8972756258537,1.02978722584536,1.07773563775557
0.831220214624798,0.830507640940218,1.0206994115328,1.02422978025726
0.850800451284201,0.939135380823918,0.967894310413114,0.945338835976324
0.875792833977229,0.852375930724806,1.00104869369059,1.04789208576068
1.06340673811693,1.06717426288293,0.992078232064374,1.00916060544091
0.824984076457067,0.824511601069412,0.960359034913772,0.952767929335649
0.802978437683644,0.838782476722994,0.928513946290315,0.943397952818357
0.77261883145212,0.790305852253709,0.901118033084581,0.952873569449021
0.752609459022385,0.74539999505544,0.953912014440033,0.87014963983493
0.734906193725088,0.850690270568123,0.937766947970122,0.914311746754502
0.84300336189656,0.765267190719518,0.894378892851501,0.834080037004525
0.964222047750792,0.881348793324388,0.897380101485924,0.847277204851856
0.792627347132172,0.684610901746574,0.855301866822225,0.788760313964854
0.769151796890953,0.771534333398229,0.90653505683387,0.799811487414022
0.655605193730334,0.689886279262822,0.832394104288701,0.816838488523431
0.660788045703567,0.663560487419041,0.840412970450096,0.80909327599673
0.684643048392119,0.699419789101979,0.802740471357365,0.775430430324616
0.83298461626707,0.645084949907256,0.810514927210424,0.843721455746002
0.866520119598377,0.809619128564583,0.80389205280618,0.772029633848852
0.786295550699879,0.625004439448851,0.807233152545805,0.728156332485331
0.730082452277288,0.634189468675242,0.801772616745065,0.7361859210103
0.651614678319063,0.602808369134832,0.754568988350134,0.746132752022493
0.611144530224415,0.557701389884036,0.845004548511851,0.750582474119518
0.60908910154226,0.691326074834278,0.804924284098217,0.729113593712667
0.668136154227859,0.621079326521849,0.808407976066309,0.707448543987661
0.771687950958041,0.770332734992567,0.790560309832101,0.733226134056914
0.699368856461855,0.596903830503626,0.74438652092591,0.763935335967569
0.621309398377558,0.603800115817178,0.822345275632472,0.681656595290853
0.588391481925502,0.585502930385805,0.818362669335206,0.722202697650506
0.589541484519407,0.55742619603535,0.806010087431919,0.687684053762425
0.525497987738644,0.599095017782004,0.749631877451549,0.697387931738082
