"mutual_UK_cases","mutual_UK_deaths"
1.37142369635115,2.16369835487075
0.964864279895725,1.53553016966899
0.871594886135151,1.39601465009467
0.801100626980335,1.32999753642961
0.769764507233778,1.26098429484738
0.746467124090499,1.19931503252128
0.750577549438118,1.11840096914754
0.75124486206992,1.10580067906495
0.668276618378662,1.01187596182376
0.614983518945191,1.0159470682848
0.556245441672697,0.961748737387109
0.529013957797526,0.893175794054828
0.522031142891226,0.852927145700279
0.50773591760821,0.867325729591458
0.488768265954913,0.850708585832727
0.451359051024397,0.797978334264977
0.411280949882589,0.737586368706016
0.387795511133153,0.71230479718781
0.354380216822389,0.689277931797727
0.34212700491498,0.68539475737126
0.314874101300285,0.672858761995145
0.273615474180052,0.64861255401551
0.232964271389674,0.605008048904409
0.232707285906006,0.611990435171848
0.20755018424768,0.607974692307021
0.15238053809313,0.602826396892388
0.161443167309678,0.577352835501626
0.13587834529156,0.583052261983494
0.122761782475691,0.601322508497455
0.105528646897757,0.581200599399523
0.119076144950339,0.564925637506123
0.0816489439442578,0.571758217585388
0.0563107061174861,0.581502283925397
0.0213188311708139,0.567679890876247
-0.00123535592057111,0.572804759075086
-0.0116921309301672,0.541287262404244
-0.0388053916428488,0.533455513974753
-0.029413069671578,0.560186885338223
-0.0372533758680129,0.541707228592511
-0.0616296663640425,0.545325279733088
-0.0876152610083056,0.530783351551924
