"S_nu_MDF_cases","S_nu_MX_cases","S_nu_MDF_deaths","S_nu_MX_deaths"
-2.55399732346766,-2.50376119730234,-Inf,-Inf
-1.8977962907166,-1.94588024389008,-1.85309351306808,-Inf
-2.01780713182955,-1.90564279859059,-1.82042458650121,-Inf
-1.87626886769087,-1.94087349530574,-2.0486811760302,-Inf
-1.9028494912345,-2.00137677825417,-1.74685324251826,-Inf
-2.1173138218381,-1.78277292970188,-1.71045887736367,-1.82835746308471
-1.78898416089544,-1.80938926553108,-1.78603320842558,-1.92364016629652
-1.95386844665424,-1.94307528096151,-1.61855911470348,-1.74598603661056
-1.68628143041945,-1.69792713434464,-1.58849480177128,-1.61541285864727
-1.81250086883235,-1.64018930231756,-1.56986288051841,-1.61679621388957
-1.75474642052709,-1.66191041924296,-1.48837271977979,-1.52977612381561
-1.70451705305695,-1.63254085033412,-1.46803643257239,-1.4202186503537
-1.71880670350345,-1.49828334063681,-1.39268999098912,-1.35199695304597
-1.55135632401687,-1.53551735008556,-1.36295152848716,-1.32677638329424
-1.69801903971059,-1.64541597237593,-1.3605323492523,-1.24563783025117
-1.48327010429735,-1.46860527189595,-1.31884068416294,-1.18883934341744
-1.60668478879638,-1.4186557371522,-1.26025540133405,-1.14204235601643
-1.50906918213243,-1.45044799210475,-1.25779161683211,-1.07092594010426
-1.48972069057165,-1.44220871893064,-1.270935447868,-1.02058749714168
-1.53058158730617,-1.35198637844247,-1.18675880936507,-0.979854792231915
-1.37655185798971,-1.36921005284531,-1.19838246607257,-0.916520720569155
-1.5336950527092,-1.46460457435318,-1.22616838817965,-0.886856813386946
-1.33075160768498,-1.33539082716106,-1.13938926715598,-0.842989873995465
-1.4355038253323,-1.30285336649549,-1.15079215337239,-0.803526817775532
-1.37613466354958,-1.29996097059015,-1.18933443696485,-0.774549283815214
-1.33722194911399,-1.29996082621653,-1.11954867234263,-0.738295687882338
-1.38917104607216,-1.23356896811141,-1.11988021100067,-0.698106525265624
-1.25461841761432,-1.26948803823629,-1.14403768417535,-0.677653912281479
-1.40617299519194,-1.32964074719904,-1.10496856831811,-0.658461026441792
-1.24851238237462,-1.21406490153594,-1.10825461268308,-0.622290429211132
-1.32222204472824,-1.19986749678739,-1.11552862382711,-0.605966746427267
-1.26161122691694,-1.21851847949389,-1.10996290884763,-0.593282961291973
-1.25692731844203,-1.2004411468389,-1.10500940174404,-0.568546624916648
-1.30551091739834,-1.13892383128027,-1.09619471779362,-0.551151252985342
-1.19037752409724,-1.18715924898509,-1.10565354983603,-0.535299807445373
-1.30944760477822,-1.26754073318862,-1.1169078415439,-0.531119915217005
-1.12167231385819,-1.15588476441509,-1.09735904648179,-0.524549176442533
-1.25318515096545,-1.13118840981103,-1.09502354610915,-0.49805554519438
-1.15370805308241,-1.16681326917386,-1.12549260453549,-0.509232288359733
-1.19335250900447,-1.14909145912197,-1.09013121547002,-0.506096521475897
