"S_nu_NY_cases","S_nu_NY_deaths"
-4.06504462960604,-5.12516721229446
-3.35766391132005,-3.61981357723849
-3.20929614274676,-3.53979651155334
-3.16035160090892,-3.70164761723407
-3.17242553974114,-3.66538499921979
-3.37385386248752,-3.75581975711824
-3.13237355826762,-3.73387059162635
-3.06703191699269,-3.7400300899186
-2.96919575486456,-3.63340853030946
-2.91116272485026,-4.39574606919784
-2.92686716702157,-3.69408613553559
-2.83479105056302,-3.63682045427602
-2.81011149908256,-3.67211480616967
-2.74276979607845,-3.83108792286727
-2.69162716551294,-3.90647478110601
-2.63373095227984,-3.89158339137263
-2.59988927238719,-3.81988919178697
-2.58051079737647,-3.69753888822003
-2.5260640110264,-4.08884431878857
-2.50910123496332,-3.76089954358089
-2.48264658008421,-3.68363848721289
-2.44551021107264,-3.63866913885674
-2.42305276102396,-3.86923692170444
-2.37742119059253,-3.84948196918533
-2.36020154300243,-3.90511190190571
-2.3537451462844,-3.84724253197821
-2.31794136085969,-3.6126628205525
-2.29170987569595,-3.85490171135998
-2.26602944958978,-3.83728981743836
-2.24183694177005,-3.76199216506922
-2.23285646408005,-3.60772412650371
-2.21247476191471,-3.88697258030962
-2.18102638438536,-3.80045201737359
-2.16238850641389,-3.89904291699932
-2.14777119925575,-3.83341530697047
-2.13661346968368,-3.74389566426122
-2.10667354107128,-3.90552515947375
-2.05130932639458,-3.87240868587351
-2.05277178517322,-3.75972349702784
-2.02154083347148,-3.60433113063891
-2.00822288868255,-3.83475355358168
-1.97652871679318,-3.69926478858641
-1.91703387552232,-3.82565224116702
-1.90715408800949,-3.80864793973083
-1.86579903890796,-3.73415878776084
-1.83677854546069,-3.75379182828569
-1.80104141271729,-3.89192860595829
-1.76251354575271,-3.76753997106614
-1.73823068371147,-3.69402537541418
-1.71093737639107,-3.76972719535882
